Brand,Title,Rating,Price
High Star Clothing,"Women's High Rise Bootcut Cotton Jeans (Black, 30)",5.0,839
Levi's,Women's Mid Rise 725 Bootcut Jeans,4.0,"1,968"
Levi's,Women's Mid Rise 726 Bootcut Jeans,,"1,968"
Miss Chase,Women's Bootcut High Rise Clean Look Regular-Length Stretchable Denim Jeans,,"1,199"
KOTTY,Women's Relaxed fit Jeans (KTTLADIESJEANS846S_Black_26)_KTTLADIESJEANS846S,3.9,549
Levi's,Women's 711 Skinny Fit Jeans,3.3,"1,152"
AKA CHIC,Women's Straight Fit Jeans,4.0,"1,019"
KOTTY,Women High Rise Cotton Lycra Ankle Length Straight fit Cornflower Blue Solid Jeans,2.2,549
VBEAUTI,Women's Slim Fit Modern Regular High Rise Strechable Solid Clean Look Jeans 1205_New,,799
High Star Clothing,HIGH Star Women Plus Size Black Wide Leg Stretchable Jeans,4.8,879
HIGH STAR,High Star Women Blue High Rise Bootcut Stretchable Jeans,4.0,749
KOTTY,Women's Cotton&Lycra Skinny High Rise Jeans,3.5,699
Miss Chase,Women's Slim Fit Regular Length High Rise Denim Jeans,3.6,799
Levi's,Women's High Rise 725 Bootcut Jeans,,"2,146"
ADBUCKS,Women's Slim Fit Jegging,3.6,749
ADBUCKS,Women's Denim Silm Fit Stretch Jeggings,4.0,715
PARIS HAMILTON,Paris Hamiton Women Plus Size Tummy Tucker High Waist Jegging Stretchable Denim Jeans,3.7,999
Generic,SVC Women's Straight fit Cotton Jeans,,549
